username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
_taetitties_,#TAEHYUNG:i do it for the girls and the gays that’s it 😽// she/her,my bed,98,73,1458,2018-05-20 02:08:26,2020-08-04 23:59:59,46361,"ive seen some tweets going around abt how there’s some donation links that won’t help the people in lebanon, instead the money would go to the corrupted government. so here’s a thread of some trusted donation links that will go towards helping the people in lebanon.",[]
Ben_C_Taylor,🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,,395,151,843,2015-10-02 08:31:23,2020-08-04 23:59:59,231119,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
GGUKFEEN,#BTS: MAP OF THE ARMYS : CLOWNS,"she/her, blm",271,155,5827,2019-12-25 10:06:05,2020-08-04 23:59:59,89348,how you can help lebanon; a thread,[]
imaextradie,"18| Canada|  he/him

life is too short, just eat a baby and fight an old man","Québec, Canada",703,45,41691,2019-05-30 15:43:48,2020-08-04 23:59:59,10308,ALL HOSPITALS IN BEIRUT ARE FULLY OCCUPIED!!! IF YOU KNOW SOMEONE WHO’S INJURED TAKE THEM DIRECTLY TO A HOSPITAL OUTSIDE OF BEIRUT,[]
manuelSv6,cuando no puedo dormir invento mi felicidad en base a  mis recuerdos,El Salvador,79,2,132,2018-09-04 17:25:13,2020-08-04 23:59:59,25049,Another view of the explosions in Beirut https://t.co/efT5VlpMkj,[]
nnaphattt_,"dec, 2002",,65,11,4132,2020-01-04 04:25:59,2020-08-04 23:59:59,989,1 second enough to destroy everything !  #Beirut https://t.co/mPCCHzuyyu,"[{'text': 'Beirut', 'indices': [58, 65]}]"
lachibolala_twt,"BTS💜
Pied piper","Pamekasan, Indonesia",288,39,9161,2018-01-19 07:28:44,2020-08-04 23:59:59,231119,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
MkulimaAfrica,MKULIMA AFRICA is an Agriculture and Agro-Processing company operating in Tanzania.,Morogoro - Tanzania,73,11,21,2020-07-15 18:44:10,2020-08-04 23:59:59,0,"Beirut - Lebanon.
Please accept our heartfelt condolences, words cannot begin to express the sadness you are feeling right now, but we are here for you and we are praying for you to get through this.  #LebanonExplosion #RestInPeace #wearesorryfortheloss #prayforbeirut https://t.co/HdAdMBQya7","[{'text': 'LebanonExplosion', 'indices': [201, 218]}, {'text': 'RestInPeace', 'indices': [219, 231]}, {'text': 'wearesorryfortheloss', 'indices': [232, 253]}, {'text': 'prayforbeirut', 'indices': [254, 268]}]"
BuzzCelup,"🄻🄸🅅🄴 🅃🄾 🅃🄷🄴 🄵🅄🄻🄻🄴🅂🅃
🅂🅃🄰🅈 🄻🄾🅆","Bandar Kuala Lumpur, Wilayah P",63,92,3843,2019-08-28 04:56:33,2020-08-04 23:59:59,12305,"Heartbreaking, devastating, tragic, horrific scenes from #Beirut. My thoughts &amp; prayers are with #Lebanon today. The sheer magnitude of the #BeirutExplosions! Almighty, help them overcome such a difficult time. We seek Your Mercy and strength!  #BeirutBlasts","[{'text': 'Beirut', 'indices': [72, 79]}, {'text': 'Lebanon', 'indices': [116, 124]}]"
jaydenj41831328,"Photography 
Graphic designer",,11,5,5,2020-04-10 23:26:22,2020-08-04 23:59:59,18284,Massive explosion recorded in Lebanon. #beirutblast (🗒 @borzou) https://t.co/yY4XnDOK6C,"[{'text': 'beirutblast', 'indices': [60, 72]}]"
ImAliaaaa,okay tak tu?,Entah la,1839,1537,101829,2013-12-27 14:21:39,2020-08-04 23:59:59,35808,"Please take a minute or two to pray for our brothers &amp; sisters at Beirut, Lebanon. There has been a massive explosion &amp; the blast leave dozens dead &amp; thousands injured. 

Our prayers &amp; thoughts are with them. https://t.co/xjC9dyvlTT",[]
leetlntn,Ig: @leetlntn,,1615,2105,38381,2012-05-08 00:49:56,2020-08-04 23:59:59,5346,"Sending out our thoughts, prayers and love to Lebanon,Beirut so many innocent gone and injured ! 
#PrayForLebanon 🇱🇧 https://t.co/GKV1I1oIzE","[{'text': 'PrayForLebanon', 'indices': [118, 133]}]"
hsootw,love you to the moon and to saturn.,Manila ,480,731,38669,2013-05-24 03:44:22,2020-08-04 23:59:59,4458,Educate yourself about what is happening in Lebanon. https://t.co/bphiDDMb2E,[]
yagallsam,architect in the making - beirut,,941,2271,11941,2019-11-10 21:15:58,2020-08-04 23:59:59,59096,petitions have no effect in lebanon. their government doesn’t care. let me explain a couple things,[]
tuqathecat,شمال أفارقة الحركة بركة instagram: tuqa_emam,,619,969,62893,2016-06-18 23:01:58,2020-08-04 23:59:59,11196,"the weather in lebanon looks like it will rain overnight in the coming few hours - due to the smoke, the rain will be acidic , please try your best to avoid touching the rain as it will irritate your skin! wash any clothes or skin that comes into contact !",[]
baraaaa_a,Bless this mess🧚🏾‍♀️🧜🏾‍♀️🧝🏾‍♀️🦄,الأماني المترفة,288,463,10902,2017-12-10 11:18:05,2020-08-04 23:59:59,2007,Beirut port before       Beirut port now https://t.co/rktg2J2bjq,[]
softkyloren,all of my fandom obsessions | my ships OWN ME | 20,wig,471,71,896,2018-08-23 05:45:16,2020-08-04 23:59:59,16100,"what is happening in lebanon and what happened?? 
a thread 
i hope all my mutuals and friends in lebanon is safe ❤️
 please take care of yourself &lt;3
this thread will have some petitions and donations you can sign for

⚠️rt to educate⚠️ https://t.co/IcYINMatQi",[]
oldpossumgus,Woman for Trump! #Maga. The left can't  #MEME ! BLOCK trolls. #KAG #USMC veteran's Wife. #BLOCK trolls,,1530,1357,64266,2016-11-11 21:38:01,2020-08-04 23:59:59,2831,"REPORTER: Are you confident the #Beirut explosion was an attack?

PRESIDENT TRUMP: ""...I've met with some of our great generals &amp; they seem to feel that it was."" --- ""They would know better than I would. They seem to think ... it was a bomb of some kind, yes."" https://t.co/2MjVRqAoKE","[{'text': 'Beirut', 'indices': [49, 56]}]"
RhondaR27472076,"Conservative Christian & Mighty Prayer Warrior for GOD, Wife, Mother of two Beautiful Daughters",,1060,816,30168,2019-02-24 21:57:33,2020-08-04 23:59:59,1666,"Lebanon. Syria explosions. 

The deep state needs a war to cover for what we now know. 

Biden Ukraine. Raids today. FL/OH
Schiff released reports no collusion. 
Maxwell leads to them all.
Clinton foundation crime against children. 
Weiner laptop. 

Stay the course Patriots.PANIC",[]
saturn_sapphy,"if you're reading this pls know you're loved, special, amazing,and valid and needed in this world💞✨",𝚜𝚑𝚎/𝚝𝚑𝚎𝚢•𝚋𝚕𝚖•❀,367,31,859,2019-06-16 06:15:46,2020-08-04 23:59:59,351,hi! if anyone has any info on what’s going on in Lebanon please leave it below so more people could see it&lt;3,[]
YDKvvvv,,世界中旅してみたい,2114,1854,40930,2013-06-15 02:33:00,2020-08-04 23:59:59,2193,From a friend in #beirut https://t.co/XAKSmUOau5,"[{'text': 'beirut', 'indices': [32, 39]}]"
Olise_Emmanuel,Producer | Radio Imaging Producer @937Rhythmfm Lagos. Great honour following me. Grace in my space. oliseemmanuels@gmail.com IG @olizz101,"Lagos, Nigeria",1430,1946,139598,2011-08-27 11:37:27,2020-08-04 23:59:59,5864,"This is so terrifying! The Beirut explosion from a car driving on the road next to the port
#Lebanon #BeirutExplosion https://t.co/p8V99136To","[{'text': 'Lebanon', 'indices': [105, 113]}, {'text': 'BeirutExplosion', 'indices': [114, 130]}]"
ramyeonchi,"BTS (김석진♡민윤기) | SKZ (김승민♡황현진) | SVT (권순영) | Danganronpa | Persona |  OVERWATCH: cheer for🇰🇷 + OW League, LIBERO 리베로 💙",OW GIFs + Threads in MOMENTS✨,299,312,141269,2012-03-05 15:28:18,2020-08-04 23:59:59,66105,"you can DONATE to the Beirut local ambulance service by downloading the Lebanese Red Cross app &amp; signing up. then: 
- select a one time or monthly payment &amp; the amount (min $2) 
- select any local ambulance station in Beirut (see map) 
- donate https://t.co/v6HiCuNCrR",[]
6erak,okurrr,ɥʇɹɐə uo əɹəɥʍəɯos,30,11,238,2019-04-25 07:42:38,2020-08-04 23:59:59,5346,"Sending out our thoughts, prayers and love to Lebanon,Beirut so many innocent gone and injured ! 
#PrayForLebanon 🇱🇧 https://t.co/GKV1I1oIzE","[{'text': 'PrayForLebanon', 'indices': [118, 133]}]"
PamelaGiedd,Save the Republic,,1278,1153,19172,2015-08-14 23:18:26,2020-08-04 23:59:59,394,"https://t.co/XBqJPIfKRz
Hillary's Emails..Qaddafi Lebanon, Beriut, time to search here",[]
Saurabh09234201,,,93,27,2457,2020-07-28 02:24:34,2020-08-04 23:59:59,2485,"Massive Bomb Blast in Beirut.
 https://t.co/7ucMVk61vl",[]
AltYelloNatPark,"Locked = blocked. An unofficial group of employees scientists & activists, in & around Yellowstone national park. Fighting Rapid Global Climate Change, everyday",Yellowstone National Park,344,61134,45118,2017-01-25 19:10:43,2020-08-04 23:59:59,4,"2,500 injured, 30~50 dead in Beirut today as an explosion of unknown origins rips through the city center, and they want to talk about the physics of it all. 

Show some compassion for once in the news. 

https://t.co/FHPHDOEUxm",[]
XxSn0tGirlxX,🔞 Zapotec healer // when you fuckin with a bitch like moi 💋 all you gotta do is SHUT THE FUCK UP AND LOOK SEXY 🥴,She/her,171,249,8010,2014-12-25 05:58:01,2020-08-04 23:59:59,11196,"the weather in lebanon looks like it will rain overnight in the coming few hours - due to the smoke, the rain will be acidic , please try your best to avoid touching the rain as it will irritate your skin! wash any clothes or skin that comes into contact !",[]
soccerjordan96,I love to play video games! I also love my friends and alcohol!,,314,231,4368,2012-10-25 11:41:14,2020-08-04 23:59:59,12023,"Terrifying video of the Beirut explosion from a car driving on the road next to the port 
#Lebanon #Beirut  https://t.co/KTLYrApCTV","[{'text': 'Lebanon', 'indices': [106, 114]}, {'text': 'Beirut', 'indices': [115, 122]}]"
1Putnik,,ישראל,112,150,86131,2009-12-22 13:48:24,2020-08-04 23:59:59,231119,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
kondekturbus_,Unofficial Partner for Everyone,Jabodetabek,697,14900,281694,2011-09-09 11:55:56,2020-08-04 23:59:59,11315,"BREAKING — Director-General of the Lebanese Public Security: What happened [in Beirut] is not a fireworks explosion, but a high-explosive material that was confiscated for years  — Al Jazeera",[]
nxhim_lvxr,||@nxhim_lovxr ke lock|| FAN ACCOUNT|| homophobic please step back || Fanwar enthusiast PLEASE GO AWAY,heaven n hell,1353,1106,5991,2020-05-12 15:07:28,2020-08-04 23:59:59,1461,please share this and sign petitions for lebanon !! lets do what we can to help and keep them in our prayers https://t.co/TGMJM27S9x,[]
dahIingg,"! (𝟣) 𝐧𝐞𝐰 𝐜𝐨𝐦𝐦𝐞𝐧𝐭:: min yoongi, my lෆve.",s/her ,2010,1838,12091,2020-04-10 05:23:20,2020-08-04 23:59:59,59096,petitions have no effect in lebanon. their government doesn’t care. let me explain a couple things,[]
olderhills,aint that just the way,they/them | white ,457,51,2840,2015-05-18 00:17:17,2020-08-04 23:59:59,4101,MOOTS THAT LIVE IN LEBANON download the careem ride app and use the promo code DONATEBLOOD to get a FREE ride too a hospital in lebanon to donate blood for those in need.,[]
elieyaghi,ليس الإحباط قدرًا,Los Angeles - Beirut,144,617,97845,2009-07-29 19:00:35,2020-08-04 23:59:59,1942,The person who took this video has died. #Beirut https://t.co/TP2bSfgy2L,"[{'text': 'Beirut', 'indices': [55, 62]}]"
bastuny,He doesn’t remember but old Joe Biden did it.,United States,93,28,5866,2019-04-04 05:26:20,2020-08-04 23:59:59,239,Canada is deeply saddened to learn of the loss of life and injuries caused by the explosion in #Beirut. Canada stands with the people of #Lebanon in this difficult time. Our thoughts are with all those affected. 🇨🇦 🇱🇧,"[{'text': 'Beirut', 'indices': [109, 116]}]"
Hosanna_Catallo,"Deaf woman. Fan of @neighbours, @911lonestar, @911onfox and @officialGLEEtv","Melbourne, Victoria, Australia",416,783,53383,2012-02-28 02:24:28,2020-08-04 23:59:59,863,"Beirut, my thoughts and prayers are with you.  🙏🏼",[]
minet_fatale,For all your voyeuristic pleasure,"Betty Ford Center, Calfornia ",121,42,6439,2018-09-04 02:27:51,2020-08-04 23:59:59,89348,how you can help lebanon; a thread,[]
belenbareirook,"pussy designed for you.
@arianagrande
https://t.co/yRJKbwfERs
my YouTube Chanel https://t.co/dxTm2OI8Yt",acepto depósitos,978,3524,12699,2020-05-22 03:14:08,2020-08-04 23:59:59,0,@KylieJenner DONATE LEBANON PLEASE,[]
carolmque,Christian. Wife. Daughter. Sister. Aussie expat. Ravenclaw. The Girl Who Ate the Last Piece of Chocolate.,"Algonquin, IL",78,208,33026,2011-08-26 16:03:08,2020-08-04 23:59:59,11789,"I honestly can’t even wrap my head around this: 

A Lebanese security official says 2,700 Tons of Ammonium Nitrate led to the #beirut explosion (per @Reuters citing local media)

the Oklahoma City bombers used approximately 2 Tons and destroyed 1 building, shattered another 286",[]
Donb_k,αℓнαм∂υℓιℓℓαн🙏•ALLAH IS SUFFICIENT FOR US & HE's THE BEST DIASPORA OF ALL AFFAIRS🙌•The Broker 👥•LM10🐐⚽•ROSSONERI❤️🖤•CULE❤️💙•LOVE URS💯•BUK🎓 •I♥HM.,"кαησ, ηιgєяια 🇳🇬",1307,2230,42146,2013-03-29 19:27:32,2020-08-04 23:59:59,541,if anyone wants or needs more information on how to help after all the devastation that happened in Lebanon today. This link is extremely helpful 🤍https://t.co/xfMOCN8yTO,[]
MOUNTA1NFLOWER,𝙶𝚘𝚍 𝟷𝚜𝚝 | 𝚕𝚟𝚕 𝟸𝟼 | 𝚒𝚗 𝚕𝚘𝚟𝚎,𝚘𝚞𝚝𝚎𝚛𝚜𝚙𝚊𝚌𝚎 ☾,142,698,14415,2012-11-20 19:02:43,2020-08-04 23:59:59,2672,"A Lebanese trying to flee from the explosion in Beirut still got hit from a distance 💔. Pray for Lebanon, pray for the world 
#BeirutBlast #Beirut https://t.co/k1m0fFbhHq",[]
CelesteUSAproud,"Mother of 3 Inspiring Children & Midnight (Best)dog EVER. APRN-BC, BS Biology✌️Love the Beach #MAGA","Florida, USA",2777,3250,253464,2015-09-25 12:19:19,2020-08-04 23:59:59,12717,"Terrifying footage is coming out of Beirut...

https://t.co/aEYysK9nTO",[]
anggadanuu,just let me live and die in peace.,East Blue,425,517,15612,2011-06-22 08:15:52,2020-08-04 23:59:59,231119,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
pennapa0109,"bts/kookv/minv 🐰🐯🐥
ลัทธิป๋อจ้าน😅","โคราช, ประเทศไทย",75,41,33198,2018-01-04 12:05:17,2020-08-04 23:59:59,3058,The total destruction of the #Beirut port will have devastating consequences for years to come. 80% of #Lebanon's grain supply came through this port into the country. The entire country is depended on this port for import https://t.co/1euvx9j5P8,"[{'text': 'Beirut', 'indices': [47, 54]}, {'text': 'Lebanon', 'indices': [121, 129]}]"
Bibson_,"Studying Earth and applied Sciences in University of Lagos state.
Lover of mathematics.",Nigeria,109,164,701,2016-05-15 08:01:31,2020-08-04 23:59:59,1757,#Beirut throughout history… https://t.co/IdfkyNSfRh,"[{'text': 'Beirut', 'indices': [15, 22]}]"
g_boxelaer,"Just watching the Great Awakening. Likes or retweets are not endorsements.

Beam me up Scotty",Belgium,54,160,4556,2016-08-15 22:33:15,2020-08-04 23:59:59,1921,"Another Angle 
looks like a scene from a disaster Nuclear movie 
#Beirut #Lebanon https://t.co/cUYQDxCFXt","[{'text': 'Beirut', 'indices': [80, 87]}, {'text': 'Lebanon', 'indices': [88, 96]}]"
sanguinestill,"23 yrs old | I love to draw | contact: sanguinestill@gmail.com |
instagram: https://t.co/JtuDSKz9Oi |
tumblr: https://t.co/Q380BfZp2I",Greendale Community College,1040,40,5037,2017-08-11 00:28:41,2020-08-04 23:59:59,385,"for those who are unaware, majority of people who live in lebanon are currently below the poverty line! since september, the lebanese pound has lost over 80% of its value! this is why we’re asking for USD donations as they are worth the most! also why im mainly linking gofundmes+",[]
Hibah46320097,‏أحاول التغلب على طاقاتي السلبيه في ضل مجتمع مليء بالانتقاد واللامبالاة بك وبابداعاتك ومشاعرك كإنسان راقي.,"محافظة عجلون, المملكة الأردنية",426,127,1653,2016-03-18 16:53:41,2020-08-04 23:59:59,144,"Pray for #Beirut 🙏❤ 
#بيروت #لبنان #PrayForLebanon #prayforbeirut #انفجار_بيروت #انفجار_المرفأ https://t.co/5TSxr5WHCL","[{'text': 'Beirut', 'indices': [28, 35]}, {'text': 'بيروت', 'indices': [40, 46]}, {'text': 'لبنان', 'indices': [47, 53]}, {'text': 'PrayForLebanon', 'indices': [54, 69]}, {'text': 'prayforbeirut', 'indices': [70, 84]}, {'text': 'انفجار_بيروت', 'indices': [85, 98]}, {'text': 'انفجار_المرفأ', 'indices': [99, 113]}]"
Ranaabtar,"Congressional Correspondent, covering Capitol Hill &DC politics in Arabic for 15+yrs. Mom of identical twins. Beach, chocolate & gym lover.",Washington DC,606,3748,2729,2009-06-15 19:05:35,2020-08-04 23:59:59,102,"The instructions to stay indoors in Beirut are not very useful. In the radius of a kilometer of my apartment, all apartments have had their windows and the aluminum frames of their windows blown out. Tonight we’re virtually all sleeping outdoors. #BeirutBlasts",[]
RoyalShadow27,,,195,10,2785,2018-09-12 13:52:19,2020-08-04 23:59:59,1233,"Rip to the person that captured this closeup. It was a livestream. This just so scary. 
#بيروت
#Beirut https://t.co/bwTXwAnb5e","[{'text': 'بيروت', 'indices': [105, 111]}, {'text': 'Beirut', 'indices': [112, 119]}]"
Alyssahahahgah,22 | UPD | are u still reading | haha okay | ill put emojis para ill look more interesting | 🤩🤩🤯,,534,504,8607,2011-06-03 08:33:15,2020-08-04 23:59:59,66105,"you can DONATE to the Beirut local ambulance service by downloading the Lebanese Red Cross app &amp; signing up. then: 
- select a one time or monthly payment &amp; the amount (min $2) 
- select any local ambulance station in Beirut (see map) 
- donate https://t.co/v6HiCuNCrR",[]
syaitond,kayang adlh bgian dri idup,panboy mulfand.. ,4865,4370,12935,2013-05-25 03:54:09,2020-08-04 23:59:59,28496,"my heart, strength and condolences are with Lebanon and everyone affected by this tragedy. 
please support / donate if you’re able to, i will be doing so too. https://t.co/8ACJFzxl69",[]
belgorejr,,,1200,844,8160,2015-11-01 11:39:05,2020-08-04 23:59:59,1427,"2020 Has to be The worst Year Ever !!!

 Earlier this Evening there was a Massive Explosion In Beirut (The Capital of Lebanon) 

Let's Pray for those that lost their lives and property #Beirut https://t.co/ifOKr0iNHD",[]
phaipat,"this twitter just for ma @kristtps💛
  #ทีมพีรญา  #KristPerawat  #ยูยู่ของคุณพี #ยยขคพ #พลทหารของก้อน🐢  #SingtoPrachaya #Plutobabykrist",,323,33,296835,2014-08-27 08:10:58,2020-08-04 23:59:59,513,"Praying for all victims of the explosion in Beirut, Lebanon. May all victims recover 🙏🏾 #lebanon #Beirut","[{'text': 'lebanon', 'indices': [104, 112]}, {'text': 'Beirut', 'indices': [113, 120]}]"
PangJee_9,S♥NE | 소녀시대 | JENNIE KIM🐱🥟,"Bangkok, Thailand",408,384,322697,2010-02-10 03:19:06,2020-08-04 23:59:59,26745,"RAW FOOTAGE: Massive explosion shakes Lebanon's capital Beirut; no word yet on cause or casualties 

@AbirGhattas 

 https://t.co/U0OgSxVGZc",[]
_salmaalii,♡,"Minnesota, USA",236,488,10033,2014-10-15 21:47:48,2020-08-04 23:59:59,118621,Petitions don’t work in the Middle East so instead here is a thread of donation links specifically to help those in Lebanon!!!! Please share and donate if you can!!!!,[]
melsdfgh03,MU GWAPA RA NYA KO AWA LANG MOOOOO,daplin sapa,88,67,1001,2020-01-22 13:41:26,2020-08-04 23:59:59,231119,Stunning video shows explosions just minutes ago at Beirut port https://t.co/ZjltF0VcTr,[]
YourProllyHaram,What’s understood ain’t for everybody to understand 🤐🤐,"Iowa, USA",354,667,35697,2011-12-16 15:04:04,2020-08-04 23:59:59,75,Y’all Just Seen What happened in Lebanon? Shit Worse Than 9/11 https://t.co/YroDKpAXsv,[]
njhh____,Growing up i've realized that i'm actually not a nice person '(,p mas,112,113,1752,2019-03-31 21:31:07,2020-08-04 23:59:59,418,I cannot imagine the psychological trauma that these children will have to go through 😭 i hope everyone in Beirut get enough strength. This is beyond heartbreaking 💔💔 https://t.co/n1rVqlKxqD,[]
DeLaZorro,,Location,1031,1884,84859,2009-06-12 22:09:57,2020-08-04 23:59:59,2973,"Beirut's governor: ""I have never in my life seen disaster this big, this catastrophic. This a national catastrophe. This a disaster for Lebanon. We don’t know how we’re going to recover from this…We need to stay strong...We need to be courageous,"" before he breaks into tears. https://t.co/1UcvM1POZc",[]
freetimestyles,#𝐇𝐀𝐑𝐑𝐘: i'd do niall ◡̈,connecticut      ♡     she/her,2619,2363,12286,2019-04-28 12:30:19,2020-08-04 23:59:59,23340,"Tonight in Lebanon it will be really cold and it will rain. I repeat do not touch the rain, it's acid!!!",[]
Goddess1345,"Where there’s a will, there’s a way.",European Union 🇪🇺,6202,5651,411795,2011-08-11 19:26:55,2020-08-04 23:59:59,5787,Losing the port here in Lebanon at this particular moment is no simple matter. We are already going through the worst economic crisis the country faces since the civil war. There are already massive food and fuel shortages. And now we cannot import anything. Darker days are ahead,[]
lovelybiIIie,directed by billie eilish,,362,594,2578,2012-11-30 19:18:16,2020-08-04 23:59:59,58,Please use the same effort that was put in to the streaming party to donate to Lebanon. Even a little bit of money helps: https://t.co/1F7ql0dphH,[]
ggukxmono,#AGUSTD: you think my success is related to your failure how fcukin delusional // ot7 ~ fan account // she/her ~ 19 \\ backup: @monoxgguk,Australia,1047,1188,50621,2013-10-03 03:13:34,2020-08-04 23:59:59,795,ways to help lebanon: a thread,[]
1n3555,Fuck the other bitches cuz I’m the best bitch,"Intercourse, PA",556,365,22119,2010-08-25 02:43:07,2020-08-04 23:59:59,35808,"Please take a minute or two to pray for our brothers &amp; sisters at Beirut, Lebanon. There has been a massive explosion &amp; the blast leave dozens dead &amp; thousands injured. 

Our prayers &amp; thoughts are with them. https://t.co/xjC9dyvlTT",[]
sanavfx,be yourself. jlingz✨ asim riaz💫 tony lopez⚡️,United Kingdom,106,87,4015,2019-08-05 16:58:16,2020-08-04 23:59:59,23817,"⚠️ DON'T SCROLL PAST THIS ⚠️

A thread of carrds and ways to help Lebanon since petitions don't work.",[]
hosslerstydia,"#JXDN · urrea, hidalgo, jeong, yoshihara | fan account |  black lives matter!",i'm in pain ,717,416,4775,2018-02-20 16:30:53,2020-08-04 23:59:59,1918,"my heart and prayers go out to be the people of lebanon 
tragedy is never prepared for and i am heartbroken to hear of so many losses
continue to pray for them and be grateful for the life you have today!
i love you all",[]
IdontspeakPaz,Special,,28,2,175,2020-06-04 09:34:40,2020-08-04 23:59:59,1044,"Nurse in #Beirut rushed to save newborn babies after the blast hit.

You are a true HERO. https://t.co/E97ONN303y","[{'text': 'Beirut', 'indices': [30, 37]}]"
vtoruikawa,IWAOI SUPREMACY | do not qrt or repost my art | eng/spa | ‘artist’ except w no art 😔,"(he)/she/they, bi, 19, 🇲🇽",119,51,2166,2020-07-15 10:48:50,2020-08-04 23:59:59,59096,petitions have no effect in lebanon. their government doesn’t care. let me explain a couple things,[]
patrick2001wil1,Breaking news on Global Miltary conflicts and major Breaking news on sports and politics and other major news,,833,232,28385,2014-06-02 02:11:28,2020-08-04 23:59:59,19,BREAKING - The death toll in Beirut following the large explosion has exceeded 100,[]
yzalanemix,"Ximena | ♀️ | 22 | Mexico | ESP/ENG
Hey~ Just a random girl who enjoys drawing, crafting, playing videogames, and watching stupid sh*t. Nice to meet you!",,28,9,611,2019-09-30 22:03:11,2020-08-04 23:59:59,2001,"This is a video that I received from another angle - the person who shot it is OK. 

Remember; many people usually jog/walk on the Beirut waterfront (close to the explosion).

Many people thought they just were documenting a big fire in the sea port. #Lebanon #beirutblast https://t.co/CpuUgKAvLV",[]
harrisonisqueer,level 13 why do you follow me,they/them or she/her,479,148,672,2019-06-09 18:26:51,2020-08-04 23:59:59,89348,how you can help lebanon; a thread,[]
